OWNER,TABLE,DATA_TYPE,LABEL,ALIAS,TYPE,DESC
BIOTA,NJ_MusselHabitat,Polyline,VERSION,VERSION,String,Number used to track version
BIOTA,NJ_MusselHabitat,Polyline,CONTACT,CONTACT,String,Contact info for US Fish and Wildlife Service
BIOTA,NJ_MusselHabitat,Polyline,SHAPE.LEN,SHAPE.LEN,Double,No variable
BIOTA,NJ_MusselHabitat,Polyline,OBJECTID,No variable,No variable,Internal feature number.
BIOTA,NJ_MusselHabitat,Polyline,LINKID,No variable,No variable,Unique ID used to link polygons with species look-up tables
BIOTA,NJ_MusselHabitat,Polyline,COMNAME,No variable,No variable,(Common Name)Common name of species present
BIOTA,NJ_MusselHabitat,Polyline,SCINAME,No variable,No variable,(Scientific Name) Scientific name of species present
BIOTA,NJ_MusselHabitat,Polyline,FEAT_LABEL,No variable,No variable,"(Feature Label) - A label assigned to each occurrence that describes the occurrence type (e.g., nest, den, dead on road, etc.)."
BIOTA,NJ_MusselHabitat,Polyline,CLASS,No variable,No variable,a taxonomic level
BIOTA,NJ_MusselHabitat,Polyline,RANK,No variable,No variable,"(RANK) - patches are classified, or ""valued,"" based on the status of the species present"
BIOTA,NJ_MusselHabitat,Polyline,FED_STATUS,No variable,No variable,(Federal Status) -Federal status of species present
BIOTA,NJ_MusselHabitat,Polyline,NJ_STATUS,No variable,No variable,(New Jersey Status) - The New Jersey Status of species present
BIOTA,NJ_MusselHabitat,Polyline,MX_YEAR,No variable,No variable,(LAST OBSERVATION YEAR) - Year species was last observed
BIOTA,NJ_MusselHabitat,Polyline,CNT_SOA,No variable,No variable,(SPECIES OCCURENCE AREA COUNT) - count of the number of species occurrence areas that intersect the patch of habitat
BIOTA,NJ_Landscape_Project,Polygon,OBJECTID,OBJECTID,OID,Internal feature number.
BIOTA,NJ_Landscape_Project,Polygon,Shape,Shape,Geometry,Feature geometry.
BIOTA,NJ_Landscape_Project,Polygon,LINKID,LINKID,String,Unique ID used to link polygons with species look-up tables
BIOTA,NJ_Landscape_Project,Polygon,LNDR,LNDR,Double,"(RANK) - patches are classified, or valued, based on the status of the species present"
BIOTA,NJ_Landscape_Project,Polygon,LU07,LU07,Double,"Numeric 4 digit code representing land use/land cover category, (2007)"
BIOTA,NJ_Landscape_Project,Polygon,LABEL07,LABEL07,String,"Description of land use/land cover category, (2007)"
BIOTA,NJ_Landscape_Project,Polygon,TYPE07,TYPE07,String,"Generalized (Level I) land use/land cover category, (2007)"
BIOTA,NJ_Landscape_Project,Polygon,RIPARIAN,RIPARIAN,String,Designates if polygon is inside/outside riparian corridor
BIOTA,NJ_Landscape_Project,Polygon,FOR_CORE,FOR_CORE,String,(FOREST CORE) - Designates if a polygon is inside/outside a patch that meets the 10 hectare core requirement
BIOTA,NJ_Landscape_Project,Polygon,GRASS_MIN,GRASS_MIN,String,(GRASSLAND MINIMUM SIZE) - Designates if a polygon is inside/outside a patch that meets the 18 hectare minimum size requirement
BIOTA,NJ_Landscape_Project,Polygon,REGION,REGION,String,The Landscape Region where the geographic centrum of the polygon occurs
BIOTA,NJ_Landscape_Project,Polygon,VERSION,VERSION,String,Number used to track version
BIOTA,NJ_Landscape_Project,Polygon,CONTACT,CONTACT,String,Contact info for US Fish and Wildlife Service
BIOTA,NJ_Landscape_Project,Polygon,ACRES,ACRES,Double,acres of feature
BIOTA,NJ_Landscape_Project,Polygon,HECTARES,HECTARES,Double,hectares of feature
BIOTA,NJ_Landscape_Project,Polygon,SHAPE.AREA,SHAPE.AREA,Double,No variable
BIOTA,NJ_Landscape_Project,Polygon,SHAPE.LEN,SHAPE.LEN,Double,No variable
BIOTA,NJ_Landscape_Project,Polygon,OBJECTID,No variable,No variable,Internal feature number.
BIOTA,NJ_Landscape_Project,Polygon,LINKID,No variable,No variable,Unique ID used to link polygons with species look-up tables
BIOTA,NJ_Landscape_Project,Polygon,COMNAME,No variable,No variable,(Common Name)Common name of species present
BIOTA,NJ_Landscape_Project,Polygon,SCINAME,No variable,No variable,(Scientific Name) Scientific name of species present
BIOTA,NJ_Landscape_Project,Polygon,FEAT_LABEL,No variable,No variable,"(Feature Label) - A label assigned to each occurrence that describes the occurrence type (e.g., nest, den, dead on road, etc.)."
BIOTA,NJ_Landscape_Project,Polygon,CLASS,No variable,No variable,a taxonomic level
BIOTA,NJ_Landscape_Project,Polygon,RANK,No variable,No variable,"(RANK) - patches are classified, or ""valued,"" based on the status of the species present"
BIOTA,NJ_Landscape_Project,Polygon,FED_STATUS,No variable,No variable,(Federal Status) -Federal status of species present
BIOTA,NJ_Landscape_Project,Polygon,NJ_STATUS,No variable,No variable,(New Jersey Status) - The New Jersey Status of species present
BIOTA,NJ_Landscape_Project,Polygon,MX_YEAR,No variable,No variable,(LAST OBSERVATION YEAR) - Year species was last observed
BIOTA,NJ_Landscape_Project,Polygon,CNT_SOA,No variable,No variable,(SPECIES OCCURENCE AREA COUNT) - count of the number of species occurrence areas that intersect the patch of habitat
BIOTA,NJ_ImptBirdAreas,Polygon,OBJECTID,OBJECTID,OID,Internal feature number.
BIOTA,NJ_ImptBirdAreas,Polygon,Shape,SHAPE,Geometry,Feature geometry.
BIOTA,NJ_ImptBirdAreas,Polygon,SiteName,SITENAME,String,Important Bird Area name
BIOTA,NJ_ImptBirdAreas,Polygon,IBAType,IBATYPE,String,Important Bird Area Type: Individual (Representative) or Macrosite (Landscape)
BIOTA,NJ_ImptBirdAreas,Polygon,Region,REGION,String,Region containing Important Bird Area. Landscape regions are large areas designated by NJDEP Endangered and Nongame Species Program where plant and animal communities are ecologically similar. 
BIOTA,NJ_ImptBirdAreas,Polygon,NJAS_Link,NJAS_LINK,String,"Website link to the site summary for the IBA; Contained within NJAS' Important Bird and Birding Areas Site Guide, an informative guide to NJ's IBAs"
BIOTA,NJ_ImptBirdAreas,Polygon,Comments,COMMENTS,String,"Description of relationship with other Important Bird Areas, including merges and association with Macrosite (Landscape) IBAs."
BIOTA,NJ_ImptBirdAreas,Polygon,Crit1_Cons,CRIT1_CONS,String,"Conservation Concern Criteria (1a-1b): Sites that regularly support significant breeding or non-breeding densities of one or more of the species listed as endangered, threatened, special concern, or conservation priority in the state of New Jersey and federally listed species. Attribute data includes avain groups or species and season of occurance that triggered the criteria."
BIOTA,NJ_ImptBirdAreas,Polygon,Crit2_RRS,CRIT2_RRS,String,"Regional Responsibility Species Criteria (2): Sites capable of supporting significant populations of breeding or wintering bird species for which New Jersey has a high responsibility for long-term conservation, even if they are not currently declining or threatened.  These are species with a disproportionately high percentage of their total population in the Bird Conservation Regions (BCRs) comprising NJ.  Selection of sites will be based on avian assemblages within the habitat community types found within BCRs. Attribute data includes bird groups and/or species that triggered the criteria. "
BIOTA,NJ_ImptBirdAreas,Polygon,Crit3_SigC,CRIT3_SIGC,String,"Significant Congregations (3a-3e): Sites that regularly hold significant numbers of one or more species, breeding or in winter.  Except where indicated, numerical estimates are based on a short period of time, e.g. one-time counts such as daily surveys - not on cumulative totals.  Introduced, feral, or superabundant species are not counted. Attribute data includes bird groups and/or species that triggered the criteria.  "
BIOTA,NJ_ImptBirdAreas,Polygon,Crit4_MigS,CRIT4_MIGS,String,ignificant Migrant Stopover/Flyover (4a-4c): Sites harboring exceptionally high numbers of birds during migration relative to the surrounding areas.  Attribute data includes bird groups and/or species that triggered the criteria. 
BIOTA,NJ_ImptBirdAreas,Polygon,Crit5_Rese,CRIT5_RESE,String,Long-term Research/Monitoring (5): Sites where a long-term research and/or monitoring project is based that contributes substantially to ornithology and bird conservation.
BIOTA,NJ_ImptBirdAreas,Polygon,NAS_Link,NAS_LINK,String,"Website link to the site report for the IBA contained within National Audubon's Important Bird Areas Database, an interactive, searchable database housing all of NJ's IBA data. "
BIOTA,NJ_ImptBirdAreas,Polygon,Acres,ACRES,Double,Acreage of IBA
BIOTA,NJ_ImptBirdAreas,Polygon,Hectares,HECTARES,Double,Area of IBA in hectares
BIOTA,NJ_ImptBirdAreas,Polygon,X,X,Double,X Coordinate of polygon centroid decimal degrees
BIOTA,NJ_ImptBirdAreas,Polygon,Y,Y,Double,Y Coordinate of polygon centroid decimal degrees
BIOTA,NJ_ImptBirdAreas,Polygon,SHAPE.AREA,SHAPE.AREA,Double,No variable
BIOTA,NJ_ImptBirdAreas,Polygon,SHAPE.LEN,SHAPE.LEN,Double,No variable
﻿BOUNDARIES,UrbanAreas_PA_Modified,Polygon,SHAPE,URBANAREA,String,Feature geometry.
BOUNDARIES,UrbanAreas_PA_Modified,Polygon,county,OBJECTID,OID,Length of feature in internal units.
BOUNDARIES,UrbanAreas_PA_Modified,Polygon,urbanarea,ID,Integer,Internal feature number.
BOUNDARIES,UrbanAreas_PA_Modified,Polygon,Id,SHAPE,Geometry,Feature geometry.
BOUNDARIES,UrbanAreas_PA_Modified,Polygon,Shape,COUNTY,String,Feature geometry.
BOUNDARIES,UrbanAreas_PA_Modified,Polygon,SHAPE.AREA,SHAPE.AREA,Double,No variable
BOUNDARIES,UrbanAreas_PA_Modified,Polygon,SHAPE.LEN,SHAPE.LEN,Double,No variable
BOUNDARIES,UrbanAreas_NJ_Modified,Polygon,OBJECTID,OBJECTID,OID,Internal feature number.
BOUNDARIES,UrbanAreas_NJ_Modified,Polygon,Shape,SHAPE,Geometry,Feature geometry.
BOUNDARIES,UrbanAreas_NJ_Modified,Polygon,UACE10,UACE10,String,2010 Census urban area code
BOUNDARIES,UrbanAreas_NJ_Modified,Polygon,GEOID10,GEOID10,String,"Urban area identifier, a concatenation of Current state Federal Information Processing Standards (FIPS) code and urban area code"
BOUNDARIES,UrbanAreas_NJ_Modified,Polygon,NAME10,NAME10,String,2010 Census urban area name
BOUNDARIES,UrbanAreas_NJ_Modified,Polygon,NAMELSAD10,NAMELSAD10,String,2010 Census name and the translated legal/statistical area description for urban area
BOUNDARIES,UrbanAreas_NJ_Modified,Polygon,SHAPE.AREA,SHAPE.AREA,Double,No variable
BOUNDARIES,UrbanAreas_NJ_Modified,Polygon,SHAPE.LEN,SHAPE.LEN,Double,No variable
BOUNDARIES,StateBoundaries,Polygon,OBJECTID,OBJECTID,OID,Internal feature number.
BOUNDARIES,StateBoundaries,Polygon,Shape,SHAPE,Geometry,Feature geometry.
BOUNDARIES,StateBoundaries,Polygon,STATE_NAME,STATE_NAME,String,State Name
BOUNDARIES,StateBoundaries,Polygon,STATE_FIPS,STATE_FIPS,String,2 digit state FIPS number
BOUNDARIES,StateBoundaries,Polygon,State,STATE,String,State abbreviation
BOUNDARIES,StateBoundaries,Polygon,SHAPE.AREA,SHAPE.AREA,Double,No variable
BOUNDARIES,StateBoundaries,Polygon,SHAPE.LEN,SHAPE.LEN,Double,No variable
BOUNDARIES,MunicipalBoundaries_Line,Polyline,Shape,SHAPE,Geometry,Feature geometry.
BOUNDARIES,MunicipalBoundaries_Line,Polyline,Co_Name,County Name,OID,Internal feature number.
BOUNDARIES,MunicipalBoundaries_Line,Polyline,SHAPE,SHAPE.LEN,Double,Feature geometry.
BOUNDARIES,MunicipalBoundaries_Line,Polyline,SHAPE.LEN,SHAPE.LEN,Integer,Internal feature number.
BOUNDARIES,MunicipalBoundaries_Line,Polyline,Id,Id,String,Internal feature number.
BOUNDARIES,MunicipalBoundaries_Line,Polyline,DVRPC_Reg,DVRPC_Reg,String,Internal feature number.
BOUNDARIES,MunicipalBoundaries_Line,Polyline,DVRPC_28Co,DVRPC_28Co,String,Internal feature number.
BOUNDARIES,DVRPC_State,Polyline,OBJECTID,OBJECTID,OID,Internal feature number.
BOUNDARIES,DVRPC_State,Polyline,Shape,SHAPE,Geometry,Feature geometry.
BOUNDARIES,DVRPC_State,Polyline,FNODE_,FNODE_,Integer,No variable
BOUNDARIES,DVRPC_State,Polyline,TNODE_,TNODE_,Integer,No variable
BOUNDARIES,DVRPC_State,Polyline,LPOLY_,LPOLY_,Integer,No variable
BOUNDARIES,DVRPC_State,Polyline,RPOLY_,RPOLY_,Integer,No variable
BOUNDARIES,DVRPC_State,Polyline,LENGTH,LENGTH,Double,No variable
BOUNDARIES,DVRPC_State,Polyline,CORRECT_CO,CORRECT_CO,Integer,No variable
BOUNDARIES,DVRPC_State,Polyline,CORRECT__1,CORRECT__1,Integer,No variable
BOUNDARIES,DVRPC_State,Polyline,SHOW,SHOW,String,No variable
BOUNDARIES,DVRPC_State,Polyline,SHAPE.LEN,SHAPE.LEN,Double,No variable
BOUNDARIES,MunicipalBoundaries,Polygon,Co_Name,OBJECTID,OID,County Name
BOUNDARIES,MunicipalBoundaries,Polygon,SHAPE.AREA,SHAPE.AREA,Double,Internal feature number.
BOUNDARIES,MunicipalBoundaries,Polygon,SHAPE.LEN,SHAPE.LEN,Double,Internal feature number.
BOUNDARIES,MunicipalBoundaries,Polygon,Co_AltName,CO_ALTNAME,String,Alternate County Name (where municipality falls within multiple counties)
BOUNDARIES,MunicipalBoundaries,Polygon,Mun_Name,MUN_NAME,String,Municipality Name
BOUNDARIES,MunicipalBoundaries,Polygon,Mun_Label,MUN_LABEL,String,Municipality Label
BOUNDARIES,MunicipalBoundaries,Polygon,Mun_Type,MUN_TYPE,String,Municipality Type
BOUNDARIES,MunicipalBoundaries,Polygon,Label_Code,LABEL_CODE,String,Use for symbolization
BOUNDARIES,MunicipalBoundaries,Polygon,GEOID_10,GEOID_10,String,Internal feature number.
BOUNDARIES,MunicipalBoundaries,Polygon,GEOID_8,GEOID_8,String,Eight digit municipality code
BOUNDARIES,MunicipalBoundaries,Polygon,DVRPC_CODE,DVRPC_CODE,String,"Municipality UID (FIPS, 1990 with spaces, text)"
BOUNDARIES,MunicipalBoundaries,Polygon,LandAreaAc,LANDAREAAC,Double,Land Area (without water) in Acres (PA and NJ only)
BOUNDARIES,MunicipalBoundaries,Polygon,LandArea,LANDAREA,Double,Land Area (without water) in Square Meters (PA and NJ only)
BOUNDARIES,MunicipalBoundaries,Polygon,DVRPC_Reg,DVRPC_REG,String,Is municipality in DVRPC 9-county region
BOUNDARIES,MunicipalBoundaries,Polygon,Sq_Feet,SQ_FEET,Double,Internal feature number.
BOUNDARIES,MunicipalBoundaries,Polygon,Acres,ACRES,Double,Internal feature number.
BOUNDARIES,MunicipalBoundaries,Polygon,DVRPC_28Co,DVRPC_28CO,String,Is municipality in DVRPC's 28-county service region
BOUNDARIES,MunicipalBoundaries,Polygon,Shape,WEBLINK,String,Feature geometry.
BOUNDARIES,MunicipalBoundaries,Polygon,WebLink,SHAPE,Geometry,Web address
BOUNDARIES,MunicipalBoundaries,Polygon,SHAPE,GEOID,String,Feature geometry.
BOUNDARIES,MunicipalBoundaries,Polygon,GEOID,STATE,String,"GIS Municipality Code ( FIPS, 2000 without spaces, ten digit, text); MD and DE use CDP codes"
BOUNDARIES,MunicipalBoundaries,Polygon,State,STATE_NAME,String,Internal feature number.
BOUNDARIES,MunicipalBoundaries,Polygon,State_Name,CO_NAME,String,Name of State
BOUNDARIES,CountyBoundaries,Polygon,OBJECTID,OBJECTID,OID,Internal feature number.
BOUNDARIES,CountyBoundaries,Polygon,Shape,SHAPE,Geometry,Feature geometry.
BOUNDARIES,CountyBoundaries,Polygon,STATE_NAME,STATE_NAME,String,State Name
BOUNDARIES,CountyBoundaries,Polygon,STATE_FIPS,STATE_FIPS,String,2 digit state FIPS number
BOUNDARIES,CountyBoundaries,Polygon,CNTY_FIPS,CNTY_FIPS,String,3 digit county FIPS number
BOUNDARIES,CountyBoundaries,Polygon,FIPS,FIPS,String,5 digit FIPS code for state and county - use as unique identifier
BOUNDARIES,CountyBoundaries,Polygon,AREA_SQMI,AREA_SQMI,Double,Area in Square Miles
BOUNDARIES,CountyBoundaries,Polygon,State,STATE,String,State abbreviation
BOUNDARIES,CountyBoundaries,Polygon,Co_Name,CO_NAME,String,County Name
BOUNDARIES,CountyBoundaries,Polygon,DVRPC_Reg,DVRPC_REG,String,County is in (yes) or out (no) of DVRPC's nine-county region
BOUNDARIES,CountyBoundaries,Polygon,DVRPC_28Co,DVRPC_28CO,String,County is in (yes) or out (no) of DVRPC's 28-county region
BOUNDARIES,CountyBoundaries,Polygon,Co_Seat,CO_SEAT,String,No variable
BOUNDARIES,CountyBoundaries,Polygon,SHAPE.AREA,SHAPE.AREA,Double,No variable
BOUNDARIES,CountyBoundaries,Polygon,SHAPE.LEN,SHAPE.LEN,Double,No variable
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,Mun_Name,OBJECTID,OID,Municipality Name
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,GeoName,GEONAME,String,Internal feature number.
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,Mun_Label,MUN_LABEL,String,Municipality Label
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,Mun_Type,MUN_TYPE,String,Municipality Type
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,Label_Code,LABEL_CODE,String,Use for symbolization
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,GEOID_10,GEOID_10,String,Internal feature number.
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,GEOID_8,GEOID_8,String,Eight digit municipality code
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,DVRPC_CODE,DVRPC_CODE,String,"Municipality UID (FIPS, 1990 with spaces, text)"
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,DVRPC_Reg,DVRPC_REG,String,Is municipality in DVRPC 9-county region
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,DVRPC_28Co,DVRPC_28CO,String,Is municipality in DVRPC's 28-county service region
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,Shape,X,Double,Feature geometry.
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,X,Y,Double,Internal feature number.
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,Y,LANDAREAAC,Double,Internal feature number.
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,LandAreaAc,WEBLINK,String,Internal feature number.
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,WebLink,SHAPE,Geometry,Web address
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,SHAPE,GEOID,String,Feature geometry.
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,GEOID,STATE,String,"GIS Municipality Code ( FIPS, 2000 without spaces, ten digit, text); MD and DE use CDP codes"
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,State,STATE_NAME,String,Internal feature number.
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,State_Name,CO_NAME,String,Name of State
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,Co_Name,CO_ALTNAME,String,County Name
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,Co_AltName,MUN_NAME,String,Alternate County Name (where municipality falls within multiple counties)
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,SHAPE.AREA,SHAPE.AREA,Double,No variable
BOUNDARIES,DVRPC_MCD_PhiCPA,Polygon,SHAPE.LEN,SHAPE.LEN,Double,No variable
BOUNDARIES,CountyBoundaries_Line,Polyline,Shape,DVRPC_REG,String,Feature geometry.
BOUNDARIES,CountyBoundaries_Line,Polyline,SHAPE,OBJECTID,OID,Feature geometry.
BOUNDARIES,CountyBoundaries_Line,Polyline,DVRPC_Reg,SHAPE.LEN,Double,Internal feature number.
BOUNDARIES,CountyBoundaries_Line,Polyline,SHAPE.LEN,DVRPC_RASP,String,Internal feature number.
BOUNDARIES,CountyBoundaries_Line,Polyline,DVRPC_RASP,DVRPC_28CO,String,Internal feature number.
BOUNDARIES,CountyBoundaries_Line,Polyline,DVRPC_28Co,COUNTYBN21,Integer,Feature geometry.
BOUNDARIES,CountyBoundaries_Line,Polyline,COUNTYBN21,CO_NAME,String,Feature geometry.
BOUNDARIES,CountyBoundaries_Line,Polyline,Co_Name,SHAPE,Geometry,Feature geometry.
BOUNDARIES,StateBoundaries_Line,Polyline,Shape,SHAPE.LEN,Double,Feature geometry.
BOUNDARIES,StateBoundaries_Line,Polyline,Id,OBJECTID,OID,Internal feature number.
BOUNDARIES,StateBoundaries_Line,Polyline,SHAPE.LEN,STATE_NAME,String,Internal feature number.
BOUNDARIES,StateBoundaries_Line,Polyline,State_Name,SHAPE,Geometry,Feature geometry.
BOUNDARIES,StateBoundaries_Line,Polyline,SHAPE,ID,Integer,Feature geometry.
BOUNDARIES,DVRPC_MCD_PhiCPA_Line,Polyline,State,OBJECTID,OID,Internal feature number.
BOUNDARIES,DVRPC_MCD_PhiCPA_Line,Polyline,RIGHTPOLY,RIGHTPOLY,Integer,Internal feature number.
BOUNDARIES,DVRPC_MCD_PhiCPA_Line,Polyline,SHAPE,SHAPE,Geometry,Feature geometry.
BOUNDARIES,DVRPC_MCD_PhiCPA_Line,Polyline,Shape,ID,Integer,Feature geometry.
BOUNDARIES,DVRPC_MCD_PhiCPA_Line,Polyline,ID,LEFTPOLYG,Integer,No variable
BOUNDARIES,DVRPC_MCD_PhiCPA_Line,Polyline,LEFTPOLYG,STATE,String,No variable
BOUNDARIES,DVRPC_MCD_PhiCPA_Line,Polyline,SHAPE.LEN,SHAPE.LEN,Double,No variable
BOUNDARIES,DVRPC_CPA,Polygon,OBJECTID,OBJECTID,OID,Internal feature number.
BOUNDARIES,DVRPC_CPA,Polygon,Shape,SHAPE,Geometry,Feature geometry.
BOUNDARIES,DVRPC_CPA,Polygon,State_Name,STATE_NAME,String,State Name
BOUNDARIES,DVRPC_CPA,Polygon,Co_Name,CO_NAME,String,County Name
BOUNDARIES,DVRPC_CPA,Polygon,State,STATE,String,No variable
BOUNDARIES,DVRPC_CPA,Polygon,CPA_2010,CPA_2010,Double,2010 County Planning Area Number
BOUNDARIES,DVRPC_CPA,Polygon,CPA_2000,CPA_2000,Double,2000 County Planning Area Number - for reference
BOUNDARIES,DVRPC_CPA,Polygon,CPA_Name,CPA_NAME,String,County Planning Area Name
